race_id,date,race_name,grade,course,field_size,going,cushion,pace_score_pre,pace_flag_pre,pace_actual,pace_match,bias_actual,result_1st,result_2nd,result_3rd,payout_sanrentan,payout_sanrenpuku,notes
2026_sakitama_hai,2026-06-24,さきたま杯,JpnI,浦和ダ1400,,稍重,,6,前傾・先行有利,前傾・先行有利（前半47.9-上り37.4）,1,先行有利,2,7,6,10990,2920,展開読みは的中。⑥消し（同コース重賞勝ち馬）が最大の失点
2026_hakodate_kinen,2026-06-28,函館記念,G3,函館芝2000,15,良,6.4,6,中立→タフ消耗と誤読,スロー（前半5F60.5）前残り,0,内前,2,10,3,326840,45780,スローの質を消耗戦と誤読。②③無印で不的中。1人気⑭13着
2026_radio_nikkei,2026-06-28,ラジオNIKKEI賞,G3,福島芝1800,16,良,9.7,,,速い決着（レコード1:45.2）,,内前・高速,13,8,5,52690,8250,決着13-8-5は全て印内（○☆◎）。三連複的中・三連単取り逃し
2026_kitakyushu_kinen,2026-07-05,北九州記念,G3,小倉芝1200,13,重,7.7,8,前崩れ→道悪で前残りに反転,平均（前半3F33.1・上り3F34.9・勝時計1:08.0）,1,内前,12,2,9,41430,9440,ペース密度0.62。道悪でも前・好位有利は不変（4角2番手以内が1-2着、最後方勢は9-10着）。◎○☆で決着独占、妙味トラックの☆②9人気2着が高配当源。回収率約351%
2026_tanabata_sho,2026-07-12,七夕賞,G3,福島芝2000,16,稍重,8.6,7,前傾持続・前残り(本線A/確定),前傾(5F57.8→60.1/2.3秒前傾)の内前残り・レース上り36.3,1,内前,11,6,9,223050,68290,paper。ペース密度0.44。夏ローカルハンデG3(R13非適用)。馬場=稍重/クッション8.6/含水14.1-12.8。ハイペース実測+内無事=前残り→前崩れ二条件式の実証例。層別:L1○/L2△(脚質分類エラー4頭:11・9・2・10→仮説10強化)/L3○(プール捕捉3/3)/L4×(全50点が1人気4依存+6の紐不統一)/L5○(22行遵守で回収0=台帳の穴→R23-R25)。☆9(15人気R5.14)3着=R値トリガー的中(脚質トリガーは誤適用)。☆3は単騎前提が11の併走圧迫で不成立+-10kg。✕7は16着大差。反実仮想:三連複BOX(印6頭+妙味4の6)35点なら68290円的中(仮説11の実測裏付け)
2026_hakodate_nisai_s,2026-07-19,函館2歳ステークス,G3,函館芝1200,13,重,6.4,20,前崩れ(本線A65%/確定),前傾2.0秒(12.2-11.0-11.0-12.0-12.0-12.2/前半3F34.2・後半3F36.2・勝時計1:10.4),1,内前,5,9,2,79530,11530,ペース密度1.54。荒れ度5/半減版4.5=中帯域で帯域ズレなし。馬場=重/クッション6.4/含水率ゴール前20.4%・4角18.9%。ペース判定は的中(前傾2.0秒)だが「前傾=前崩れ」の含意が道悪で不成立=逃げ10が4着・2-3番手9が2着・上位5頭が全て4角6番手以内。七夕賞2026(稍重2.3秒前傾→内前残り)北九州記念2026(重→4角2番手以内が1-2着)に続く3例目でR29を新設。決着式は「4角6番手以内かつ上がり35.9秒以内」で該当3頭(5・9・2)がそのまま1-2-3着=検証待ち仮説15。4角併走ペアが正反対の結果(5:1着と13:12着がともに4-5番手/2:3着と12:10着がともに6-8番手)で位置取りでは説明不能。ハナ争いは6頭激化と読んだが実際は10の単騎先頭で隊列は整然。1着5に課した係数0.85の唯一の根拠がハナ争い当事者でありその前提が崩れた=R29後半の起源。上位3頭が442/434/446kgと全て450kg未満で過去10年の450kg以上有利が反転=検証待ち仮説14。プール捕捉2/3(9と2を捕捉・1着5は圏外)だが捕捉した2頭のワイドは960円で1着5が絡む配当(2-5=3380/5-9=1330/単勝2360)を全て逃す=安い2頭を拾い高い1頭を落とした。実購入は三連複2本のみ計1200円で帯域表指定の穴側2券種(三連単F・ワイド)が欠落=同日の小倉記念起源R28が禁じる方向だがR17によりR28の検証対象外。実配当で反実仮想を検証した結果ワイドBOX上位6頭15点1500円が-540円で最良でありいずれも赤字=敗因は構造でなく選定と馬場の質的判定。9イモージェンはブリンカー着用。振り返り実施メモ：初回・2回目ともV4.5(原因深堀り)を飛ばしV7を誤って全✓と宣言。3回目で実施。V4.5を通した結果L4への新ルール提案が対応表上不要と判明し前回のR27草案撤回が追認された。V4.5の分類はL1=(b)解釈×構造的→②③・L2=(b)解釈×構造的→①(理由付き昇格)・L3=(c)重み付け×構造的→①に包含(理由付き)・L4=(d)手順逸脱→④(R28が既存でR17により検証対象外)・L5○のQ5=手続き面は実力だが内容面は台帳の穴により無力
2026_kokura_kinen,2026-07-19,小倉記念,G3,小倉芝2000,18,良,10.2,6,中立,イーブン(前半4F46.9/後半4F47.4),1,内外フラット,1,17,18,261530,22060,ペース密度6÷18=0.33(仮説6)。1着ゼンダンハヤブサ(10人気)2着ジョバンニ(1人気)3着レーゼドラマ(6人気)。逃げは✕評価⑦トータルクラリティ(7着)で脚質未取得により逃げ馬特定を外した(仮説10)。⑤エヒトは競走中止。プール捕捉3/3も実購入は三連複2本+三連単Fの3券種のみで回収0円(回収率0.0%)。荒帯域が指定するワイド穴を落とし予算比も48:52(規定30:70)と穴側過小。☆①が1着したのに☆を拾える券種が不在だったことが回収0の直接原因(R28起点)。JRA相当ソース(サンスポ/日刊/中日/競馬ラボ)で照合済:着順①-⑰-⑱・馬場良・ミドル+0.2(テン4F46.9/上り4F47.4・3F35.7)・勝時計1:58.0・三連単261530/三連複22060。【2026-08-02穴埋め】単複/馬連/ワイド個別配当をJRA公式(tools/jra_result.py)で取得＝単勝①3310/複勝①600・⑰150・⑱420/枠連1-8 840/ワイド1-17 1750・1-18 4910・17-18 1020/馬連1-17 5650/馬単1-17 17030。三連単261530・三連複22060・勝時計1:58.0・テン4F46.9・上り4F47.4/3F35.7も一致。7着⑦トータルクラリティは通過1-1-1-1で逃げ(仮説10の誤分類事例を一次ソースで確認)。5番⑤エヒトは競走中止。馬場ソース=JRA公式(jra_result.py)発表馬場芝良・天候晴。振り返りV0-V7完了(3回目・V4.5実施)
2026_sekiya_kinen,2026-07-26,関屋記念,G3,新潟芝1600外,14,不良,,7,前崩れ警戒→R29適用で前〜好位残しが本線,前傾0.6秒(前半4F45.9/後半4F46.5)・上り3F34.3・勝時計1:32.4の高速決着,0,前後フラット・高速(4角1番手が2着/3番手が3着で前は残るが1着は4角11番手の上がり最速33.7),3,10,1,34830,7490,ペース密度0.50。馬場は【2026-08-02訂正】JRA公式一次ソース(tools/jra_result.py)で発表馬場=芝不良・天候雨を確認し重→不良へ修正。当初「JRA公式・keibalabはbot検出でブロック」と記録したが再検証でrobots全面許可・正直UAで200を確認しており、原因はCNAME遷移に到達できていなかったこと(取得手段の問題)。二次ソースの「雨・不」表示が正しかった。馬場ソース=JRA公式(jra_result.py)発表馬場芝不良・天候雨。不良発表で1:32.4は良馬場並みでクッション9.6(朝)の硬い路盤が効いた＝「道悪＝時計がかかる」の読み違い(仮説11の起点)。逃げたのは差し分類していた10クランフォードで14メタルは2番手に控えさせられた(仮説10の誤分類2件目)。プール捕捉3/3だが三連複の軸7が5着で全滅(R31の起点)。荒れ度5/半減3.5で中帯域・帯域一致
2026_ibis_sd,2026-08-02,アイビスサマーダッシュ,G3,新潟芝1000直,17,良,9.8,12,前崩れ,平均,0,内前,6,11,4,462350,92420,band=中 / 荒れ度=5 / 券種=三連複+三連単F / 堅実穴=50:50 / 予算=3000 / 計画総額=2900 ／ 半減版4.0(中・帯域一致) ／ 中央値基準版4(中・帯域一致) ／ ペース密度=0.71(仮説6) ／ 千直は通過順データ不在のためペーススコアの入力r_medは千直以外の走由来・脚質判定不能3頭(8/14/16)を逃げ先行カウントから除外しパターンBで担保 ／ #更新1回目(係数のみ)=2026-08-02 曇・良確定・クッション9.8・含水率12.2/11.3・確定オッズ・馬体重を反映しR30を解除 ／ 未反映=☆入替(13は5人気で妙味対象外・12は5.0→3.0、15→6.0/7→5.0/14→5.0)とR09解除(6のR1.35→1.71)は再評価範囲外 ／ R値ρ=-0.765(前日11:40スナップ・人気代理チェック) ／ 【振り返り】前半400m=21.8秒。【2026-08-02訂正】JRA公式一次ソース(tools/jra_result.py)でハロンタイム11.7-10.1-10.4-10.4-10.9・上り4F41.8/3F31.7を取得し当初の算術導出値(53.5-31.7)と一致を確認。当初の「JRA公式ラップ表は取得失敗」は解消。馬場ソース=JRA公式(jra_result.py)発表馬場芝良・天候晴。千直は結果ページのコーナー通過順位が空欄であることも一次ソースで確認(データ不在)。3着内が全て通過3番手以内で前崩れ宣言は不成立→pace_match=0。実バイアス内前(1着3枠/3着2枠、外枠勢は⑮16着⑧17着)。プール捕捉1/3(⑥のみ・⑪⑰無印)。実購入=計画どおり2900円・回収0円。仮説12/13/17へ追加事例、R33/R34を新規提案
2026_queen_s,2026-08-02,クイーンS,G3,札幌芝1800,14,良,7.3,8,前崩れ,平均,0,フラット,7,11,14,22210,5560,band=中 / 荒れ度=3 / 券種=三連複+三連単 / 堅実穴=56:44 / 予算=3000 / 計画総額=2700 ／ 半減版2.5(堅/中境界・帯域は中を採用) ／ ペース密度=0.571(仮説6) ／ 馬場確定=良(天候晴・クッション7.3・含水率G前13.9/4角12.5) ／ 馬場ソース=JRA公式(jra_result.py)発表馬場芝良・天候晴・2026-08-02に着順/配当/ラップ全項目を再照合し一致 ／ #更新2回(上限到達)で馬場・確定オッズ・馬体重を反映、上位5頭の序列不変・印と買い目は変更なし ／ 三連複的中率32.20%損益分岐4659円 三連単F的中率7.76%損益分岐15471円 EV警告なし ／ R値ランクと単勝人気順のρ≒0.93=ねじれ補正の人気代理変数化シグナル ／ 【結果】1着7ココナッツブラウン(1人気・4角4番手)2着11コガネノソラ(3人気・無印/紐)3着14ヴーレヴー(4人気・2番手先行)。逃げ9エリカエクスプレスは4着。前半1000m59.2/後半800m46.9でペース=平均、前崩れ宣言は不一致(pace_match=0) ／ 実購入=計画どおり2700円→回収5560円(+2860円・ROI206%) ／ ④記録のみ：2着11は無印で紐にのみ在籍。R11の格下げ回避が捕捉源であり印としては捕捉できていない ／ ④記録のみ：確定オッズは記録時点(⑦3.5=2人気/⑨3.1=1人気)から締切までに逆転(⑦2.9=1人気/⑨3.5=2人気)。README 7-bによりr_adj・popularityは遡って書き換えず差分をここに記録
