race_id,rule_id,fired,followed,capture,outcome,notes
2026_hakodate_kinen,R02,1,0,的中,違反して失敗,②を名指し後に無印へ。1着で最大の失点
2026_hakodate_kinen,R03,1,0,的中,違反して失敗,手術明け不確実性の⑫を◎頭固定
2026_hakodate_kinen,R04,1,0,方向なし,違反して失敗,単騎逃げ③がいたのにスロー前残りを並列で持たず
2026_hakodate_kinen,R10,1,1,的中,効いた,58kg4頭は全て馬券圏外
2026_hakodate_kinen,R09,1,1,空振り,効いた,1人気⑭の頭固定回避が正解（13着）
2026_radio_nikkei,R05,1,0,的中,違反して失敗,サノノの時計型シグナルを統計3不利で降格→頭を逃す
2026_radio_nikkei,R06,1,0,的中,違反して失敗,軸が◎リッツ→ディール→リッツと3度揺れた
2026_sakitama_hai,R07,1,0,的中,違反して失敗,⑥の前走同コース同距離勝ちを確認せず消し→3着
2026_kitakyushu_kinen,R03,1,1,的中,効いた,◎⑨の頭固定を弱めた。決着12-2-9で◎は3着＝頭で買わなかった判断は正解
2026_kitakyushu_kinen,R07,1,1,的中,効いた,✕⑧アメリカンビキニの消しを瞬発スロー逃げ依存等3根拠で確認。大差最下位13着
2026_kitakyushu_kinen,R08,1,1,方向なし,効いた,道悪前残りをBとしてロック。通過順（4角2番手以内が1-2着）で裏付け
2026_kitakyushu_kinen,R09,1,1,的中,効いた,○⑫R1.6で頭固定回避。1着だが頭1点固定せず両置きにした運用は正
2026_kitakyushu_kinen,R11,1,1,的中,効いた,◎⑨-10kg減の単独根拠で格下げせず据置→3着。△⑤は独立2根拠で降格
2026_kitakyushu_kinen,R12,1,1,的中,効いた,三連単の頭に◎⑨○⑫を両置き。○が1着で頭は的中
2026_kitakyushu_kinen,R15,1,1,方向なし,効いた,☆は②⑬の2頭で総数維持。☆②が2着で高配当源
2026_kitakyushu_kinen,R16,1,1,方向なし,効いた,三連複10点・三連単F28点を頭ごと展開で検算し予算内を確認
2026_kitakyushu_kinen,R18,1,1,方向なし,効いた,ゲート各行に馬名・数値入り根拠を付与
2026_kitakyushu_kinen,R20,1,0,的中,違反して失敗,▲⑪ヤマニン（差し馬）を道悪前残り本線なのに体重逆転の数値だけで昇格→4角最後方9着。展開一貫性違反
2026_kitakyushu_kinen,R21,1,0,的中,違反して失敗,◎⑨の頭固定を弱めたが三連単3着グループに⑨を未設定。決着12-2-9で◎3着41430円を取り逃し
2026_tanabata_sho,R01,1,1,空振り,中立,馬場確定でも◎4を維持。結果7着だが単一データ点で覆さない原則自体は妥当
2026_tanabata_sho,R07,1,1,的中,効いた,✕7メリオーレムは福島芝2000実績なし等3根拠を確認のうえ消し→16着大差。R09により複勝圏除外はしない運用も遵守
2026_tanabata_sho,R08,1,1,方向なし,効いた,パターンA(前残り)をロック→実際に前残り決着。展開読みは成功
2026_tanabata_sho,R11,1,1,空振り,中立,保全した10は4着・2は9着で3着内に来ておらず結果に影響なし
2026_tanabata_sho,R12,1,1,空振り,中立,頭に4・16を両置きしたが両方圏外。頭の両置きだけでは1人気の軸依存を解消できないことが判明(R23起点)
2026_tanabata_sho,R14,1,1,方向なし,効いた,☆入替(10・2→3・9)で9オニャンコポンが3着。独立2根拠での入替判断は正解
2026_tanabata_sho,R15,1,1,方向なし,中立,☆2頭のうち9が3着・3が14着
2026_tanabata_sho,R16,1,1,方向なし,中立,点数検算どおり(三連複15/三連単30/ワイド5)
2026_tanabata_sho,R17,1,1,方向なし,中立,検証対象はorigin_race以後のみ。循環検証なし
2026_tanabata_sho,R18,1,1,方向なし,中立,全行に馬名・数値入り根拠を記載
2026_tanabata_sho,R19,1,1,方向なし,効いた,暫定ルールを台帳どおり適用。振り返りでも既存ルールの変更をせず追加と仮説登録に限定
2026_tanabata_sho,R20,1,1,空振り,中立,除外した1は5着で3着内に来ておらず「従わなければ取れていた」の裏取り不可
2026_tanabata_sho,R21,1,1,空振り,中立,4を三連単の2・3着群に包含したが4が7着で無効
2026_tanabata_sho,R22,1,1,方向なし,効いた,全16頭で検算通過。数値不整合ゼロ
2026_hakodate_nisai_s,R01,0,,,,軸の移動なし。工程6の再実行は馬場確定という新規データによるもので単一データ点での翻意ではない
2026_hakodate_nisai_s,R02,1,1,空振り,中立,名指しした妙味馬7ショウナンカノア(妙味5.0)を三連複2種・三連単2着3着・ワイド軸の全券種で採用。※実購入は三連複2本のみで三連単・ワイドは未購入。7は6着で結果に影響せず
2026_hakodate_nisai_s,R03,0,,,,◎12の根拠は稍重函館芝1200実走勝ち+中団差し+460kg+8枠の複数。単一の不確実性への依存なし
2026_hakodate_nisai_s,R04,0,,,,ペーススコア20で中立(4-6)ではない。かつ想定馬場は重で良ではなく単騎逃げ候補も不在
2026_hakodate_nisai_s,R05,0,,,,馬場確定=重のため高速馬場条件に非該当
2026_hakodate_nisai_s,R06,1,1,空振り,中立,軸12は前日評価→枠補正撤回→重確定の再評価→R値確定の4段階すべてで不動
2026_hakodate_nisai_s,R07,1,1,的中,効いた,✕6ウンスイの好走条件(門別ダ1000新馬勝ち1:00.7)を確認したうえで構造フィルタで消し13着。誤り防止に寄与
2026_hakodate_nisai_s,R08,1,1,方向なし,中立,ペースシナリオを買い目前にロック。実測は前傾2.0秒でペース判定自体は的中したが「前傾=前崩れ」の含意が道悪で外れた。ロックの有無は結果を左右せず
2026_hakodate_nisai_s,R09,0,,,,全13頭でR値を算出しR<1.5は0頭(最小は11シグレの1.74)。頭固定回避サインは不点灯
2026_hakodate_nisai_s,R10,0,,,,2歳馬齢戦で全馬55.0kg。斤量の構造フィルタは非該当
2026_hakodate_nisai_s,R11,1,1,的中,効いた,9イモージェンの▲→△格下げ時に独立根拠2つを揃えて紐に保全し9が2着。保全がなければV3の反実仮想も成立しない
2026_hakodate_nisai_s,R12,1,1,空振り,中立,三連単の頭を12と13の両置き。頭1点固定なし
2026_hakodate_nisai_s,R13,0,,,,G3のため非適用(G1限定)
2026_hakodate_nisai_s,R14,0,,,,予想確定後の個別馬照会なし
2026_hakodate_nisai_s,R15,1,1,方向なし,中立,◎12○13▲4△9✕6の各1頭+☆7の1頭。☆は最大2の範囲内
2026_hakodate_nisai_s,R16,1,1,方向なし,中立,4券種すべてを検算=三連複6点・三連複6点・三連単38点(頭別19+19の展開列挙)・ワイド4点。重複除外を確認し合計9800円。※この検算は計画時の4券種9800円ベース。実購入は三連複2本×100円=1200円で券種構成が欠落しており予算比の照合は未実施(R28が禁じる方向だがR17により検証対象外)
2026_hakodate_nisai_s,R17,0,,,,ルール有効性の検証は集計フェーズの対象
2026_hakodate_nisai_s,R18,1,1,方向なし,中立,ゲート①②の全行に馬名・数値入りの根拠を付与
2026_hakodate_nisai_s,R19,1,1,方向なし,中立,妙味閾値5を維持し☆を1頭に留めた。閾値を4に緩めれば1着5(妙味4.0)がプールに入ったが実配当で裏取りした結果実購入の三連複2本はいずれも軸が12・13固定のため1点も的中しない。よって逆効果ではなく中立
2026_hakodate_nisai_s,R20,1,1,空振り,中立,前崩れ本線に合わせ差し・好位差しを上位に置いた。◎12は4角6-8番手の好位を取れており脚質整合の問題ではなく上がり性能の問題(同位置の2は上がり35.6で3着・12は36.4で10着)
2026_hakodate_nisai_s,R21,0,,,,R03未発火のため対象外
2026_hakodate_nisai_s,R22,1,1,方向なし,中立,全13頭でbase×合成係数+加算層=最終点を独立再計算し不一致0件。additive_totalはr_adjを含む総和で記録
2026_hakodate_nisai_s,R23,1,1,空振り,中立,1頭依存は回避したが◎○の2頭依存となり実購入2券種が12か13を必須とした。ただし実配当で検証した結果◎○を含まない代替構造(ワイドBOX15点1500円)も回収960円で-540円の赤字であり本ルールの穴が損失の主因ではない
2026_hakodate_nisai_s,R24,1,1,空振り,中立,妙味閾値到達の7を三連複2種の相手・三連単の2着と3着・ワイド軸の全券種で統一。券種間の紐不統一なし。※統一は計画段階のもの。実購入で三連単・ワイドが落ちたため券種横断統一の実効性は未検証
